name,terminology,code,term,code_type,RecordDate
Corticosteroid,BNF_chemical,0603010I0,Fludrocortisone Acetate,1,20210802
Corticosteroid,BNF_chemical,0603020B0,Betamethasone,1,20210802
Corticosteroid,BNF_chemical,0603020C0,Betamethasone Sodium Phosphate,1,20210802
Corticosteroid,BNF_chemical,0603020F0,Cortisone Acetate,1,20210802
Corticosteroid,BNF_chemical,0603020I0,Deflazacort,1,20210802
Corticosteroid,BNF_chemical,0603020G0,Dexamethasone,1,20210802
Corticosteroid,BNF_chemical,0603020AA,Dexamethasone Phosphate,1,20210802
Corticosteroid,BNF_chemical,0603020H0,Dexamethasone Sodium Phosphate,1,20210802
Corticosteroid,BNF_chemical,0603020J0,Hydrocortisone,1,20210802
Corticosteroid,BNF_chemical,0603020L0,Hydrocortisone Sodium Phosphate,1,20210802
Corticosteroid,BNF_chemical,0603020M0,Hydrocortisone Sodium Succinate,1,20210802
Corticosteroid,BNF_chemical,0603020S0,Methylprednisolone,1,20210802
Corticosteroid,BNF_chemical,0603020AC,Methylprednisolone Aceponate,1,20210802
Corticosteroid,BNF_chemical,0603020K0,Methylprednisolone Sodium Succinate,1,20210802
Corticosteroid,BNF_chemical,0603020T0,Prednisolone,1,20210802
Corticosteroid,BNF_chemical,0603020X0,Prednisone,1,20210802
Corticosteroid,BNF_chemical,0603020Z0,Triamcinolone Acetonide,1,20210802
Corticosteroid,SNOMED,350387002,Product containing betamethasone in oral dose form ,1,20210708
Corticosteroid,SNOMED,778504001,Product containing only betamethasone in oral dose form,1,20210708
Corticosteroid,SNOMED,784609000,Product containing precisely betamethasone 120 microgram/1 milliliter conventional release oral solution (clinical drug),1,20210708
Corticosteroid,SNOMED,325345003,Product containing precisely betamethasone 500 microgram/1 each conventional release oral tablet,1,20210708
Corticosteroid,SNOMED,376549004,Product containing precisely betamethasone 600 microgram/1 each conventional release oral tablet (clinical drug),1,20210708
Corticosteroid,SNOMED,768296006,Product containing prednisone in oral dose form (medicinal product form),1,20210708
Corticosteroid,SNOMED,17872811000001100,Prednisone 1mg modified-release tablets (product),1,20210708
Corticosteroid,SNOMED,17873211000001107,Prednisone 2mg modified-release tablets (product),1,20210708
Corticosteroid,SNOMED,17873811000001108,Prednisone 5mg modified-release tablets (product),1,20210708
Corticosteroid,SNOMED,373989007,Product containing precisely prednisone 2.5 milligram/1 each conventional release oral tablet (clinical drug),1,20210708
Corticosteroid,SNOMED,374058000,Product containing precisely prednisone 10 milligram/1 each conventional release oral tablet (clinical drug),1,20210708
