name,terminology,code,term,code_type,RecordDate
diabetes,SNOMED,4855003,Diabetic retinopathy,1,20210127
diabetes,SNOMED,8801005,Secondary diabetes mellitus,1,20210127
diabetes,SNOMED,11530004,Brittle diabetes,1,20210127
diabetes,SNOMED,25093002,Diabetic oculopathy,1,20210127
diabetes,SNOMED,25412000,Diabetic retinal microaneurysm,1,20210127
diabetes,SNOMED,26298008,Diabetic coma with ketoacidosis,1,20210127
diabetes,SNOMED,39058009,Diabetic amyotrophy,1,20210127
diabetes,SNOMED,43959009,Diabetic cataract,1,20210127
diabetes,SNOMED,44054006,Diabetes mellitus type II,1,20210127
diabetes,SNOMED,46635009,Insulin dependent diabetes mellitus,1,20210127
diabetes,SNOMED,48951005,Bullosis diabeticorum,1,20210127
diabetes,SNOMED,49455004,Diabetic polyneuropathy,1,20210127
diabetes,SNOMED,50620007,Diabetic autonomic neuropathy,1,20210127
diabetes,SNOMED,51002006,Diabetes mellitus associated with pancreatic disease,1,20210127
diabetes,SNOMED,59276001,Proliferative diabetic retinopathy,1,20210127
diabetes,SNOMED,62260007,Pretibial pigmental patches in diabetes,1,20210127
diabetes,SNOMED,73211009,Diabetes mellitus,1,20210127
diabetes,SNOMED,74627003,Diabetic complication,1,20210127
diabetes,SNOMED,75524006,Malnutrition related diabetes mellitus,1,20210127
diabetes,SNOMED,111552007,Diabetes mellitus without complication,1,20210127
diabetes,SNOMED,111556005,Diabetic ketoacidosis without coma,1,20210127
diabetes,SNOMED,126534007,Diabetic mixed sensory-motor polyneuropathy,1,20210127
diabetes,SNOMED,127011001,Diabetic sensory polyneuropathy,1,20210127
diabetes,SNOMED,127012008,Lipoatrophic diabetes,1,20210127
diabetes,SNOMED,127013003,Diabetic renal disease,1,20210127
diabetes,SNOMED,127014009,Diabetic peripheral angiopathy,1,20210127
diabetes,SNOMED,134395001,Diabetic retinopathy screening,1,20210127
diabetes,SNOMED,170745003,Diabetic on diet only,1,20210127
diabetes,SNOMED,170747006,Diabetic on insulin,1,20210127
diabetes,SNOMED,170763003,Diabetic - good control,1,20210127
diabetes,SNOMED,170766006,Loss of hypoglycemic warning,1,20210127
diabetes,SNOMED,190330002,"Diabetes mellitus, juvenile type, with hyperosmolar coma",1,20210127
diabetes,SNOMED,190331003,"Diabetes mellitus, adult onset, with hyperosmolar coma",1,20210127
diabetes,SNOMED,190368000,Type I diabetes mellitus with ulcer,1,20210127
diabetes,SNOMED,190369008,Type 1 diabetes mellitus with gangrene,1,20210127
diabetes,SNOMED,190372001,Type I diabetes mellitus maturity onset,1,20210127
diabetes,SNOMED,190388001,Type II diabetes mellitus with multiple complications,1,20210127
diabetes,SNOMED,190389009,Type 2 diabetes mellitus with ulcer,1,20210127
diabetes,SNOMED,190406000,Malnutrition-related diabetes mellitus with ketoacidosis,1,20210127
diabetes,SNOMED,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications,1,20210127
diabetes,SNOMED,190411003,Malnutrition-related diabetes mellitus with multiple complications,1,20210127
diabetes,SNOMED,193141005,Diabetic mononeuritis multiplex,1,20210127
diabetes,SNOMED,193183000,Acute painful diabetic neuropathy,1,20210127
diabetes,SNOMED,193184006,Chronic painful diabetic neuropathy,1,20210127
diabetes,SNOMED,193185007,Asymptomatic diabetic neuropathy,1,20210127
diabetes,SNOMED,193349004,Preproliferative diabetic retinopathy,1,20210127
diabetes,SNOMED,193350004,Advanced diabetic maculopathy,1,20210127
