name,terminology,code,term,code_type,RecordDate
HF,SNOMED,10633002,Acute congestive heart failure,1,20210127
HF,SNOMED,42343007,Congestive heart failure,1,20210127
HF,SNOMED,43736008,Rheumatic left ventricular failure,1,20210127
HF,SNOMED,56675007,Acute heart failure,1,20210127
HF,SNOMED,71892000,Cardiac asthma,1,20210127
HF,SNOMED,79955004,Chronic cor pulmonale,1,20210127
HF,SNOMED,83105008,Malignant hypertensive heart disease with congestive heart failure,1,20210127
HF,SNOMED,84114007,Heart failure,1,20210127
HF,SNOMED,85232009,Left heart failure,1,20210127
HF,SNOMED,87837008,Chronic pulmonary heart disease,1,20210127
HF,SNOMED,88805009,Chronic congestive heart failure,1,20210127
HF,SNOMED,92506005,Biventricular congestive heart failure,1,20210127
HF,SNOMED,128404006,Right heart failure,1,20210127
HF,SNOMED,134401001,Left ventricular systolic dysfunction,1,20210127
HF,SNOMED,194767001,Benign hypertensive heart disease with congestive cardiac failure,1,20210127
HF,SNOMED,194779001,Hypertensive heart and renal disease with (congestive) heart failure,1,20210127
HF,SNOMED,194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,1,20210127
HF,SNOMED,195111005,Decompensated cardiac failure,1,20210127
HF,SNOMED,195112003,Compensated cardiac failure,1,20210127
HF,SNOMED,195114002,Acute left ventricular failure,1,20210127
HF,SNOMED,206586007,Congenital cardiac failure,1,20210127
HF,SNOMED,275514001,Impaired left ventricular function,1,20210127
HF,SNOMED,367363000,Right ventricular failure,1,20210127
HF,SNOMED,420300004,New York Heart Association Classification - Class I (finding),1,20210127
HF,SNOMED,420913000,New York Heart Association Classification - Class III (finding),1,20210127
HF,SNOMED,421704003,New York Heart Association Classification - Class II (finding),1,20210127
HF,SNOMED,422293003,New York Heart Association Classification - Class IV (finding),1,20210127
HF,SNOMED,426263006,Congestive heart failure due to left ventricular systolic dysfunction (disorder),1,20210127
HF,SNOMED,426611007,Congestive heart failure due to valvular disease (disorder),1,20210127
HF,SNOMED,407596008,Echocardiogram shows left ventricular systolic dysfunction (finding),1,20210127
HF,SNOMED,698592004,Asymptomatic left ventricular systolic dysfunction (disorder),1,20210127
HF,SNOMED,430396006,Chronic systolic dysfunction of left ventricle (disorder),1,20210127
HF,SNOMED,10335000,Chronic right-sided heart failure (disorder),1,20210127
HF,SNOMED,233924009,Heart failure as a complication of care (disorder),1,20210127
HF,SNOMED,446221000,Heart failure with normal ejection fraction (disorder),1,20210127
HF,SNOMED,48447003,Chronic heart failure (disorder),1,20210127
HF,SNOMED,314206003,Refractory heart failure (disorder),1,20210127
HF,SNOMED,703272007,Heart failure with reduced ejection fraction (disorder),1,20210127
HF,SNOMED,717491000000102,Excepted from heart failure quality indicators - informed dissent (finding),1,20210127
HF,SNOMED,716971000000109,Heart failure monitoring first letter (procedure),1,20210127
HF,SNOMED,1110931000000103,Quality and Outcomes Framework heart failure quality indicator-related care invitation (procedure),1,20210127
HF,SNOMED,711461000000104,Heart failure monitoring invitation (procedure),1,20210127
HF,SNOMED,716621000000101,Heart failure monitoring third letter (procedure),1,20210127
HF,SNOMED,717191000000108,Heart failure monitoring second letter (procedure),1,20210127
HF,SNOMED,717501000000108,Heart failure monitoring verbal invitation (procedure),1,20210127
HF,SNOMED,717531000000102,Heart failure monitoring telephone invitation (procedure),1,20210127
HF,ICD10,I11.0,Hypertensive heart disease with (congestive) heart failure,1,20210127
HF,ICD10,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,1,20210127
HF,ICD10,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,1,20210127
HF,ICD10,I50,Heart failure,1,20210127
